記号,検索ワード,10進法,16進法
🙌,両手を上げる,&#128588;,&#x1F64C;
👏,拍手,&#128079;,&#x1F44F;
🤝,握手,&#129309;,&#x1F91D;
👍,イイね,&#128077;,&#x1F44D;
👎,ダメ,&#128078;,&#x1F44E;
👊,握りこぶし,&#128074;,&#x1F44A;
✊,こぶし,&#9994;,&#x270A;
🤛,左向きのこぶし,&#129307;,&#x1F91B;
🤜,右向きのこぶし,&#129308;,&#x1F91C;
🫷,左を押している手,&#129783;,&#x1FAF7;
🫸,右を押している手,&#129784;,&#x1FAF8;
🤞,交差させた指,&#129310;,&#x1F91E;
✌,Vサイン,&#9996;,&#x270C;
🫰,人差し指と親指を交差した手,&#129776;,&#x1FAF0;
🤟,愛してるのジェスチャー,&#129311;,&#x1F91F;
🤘,コルナ,&#129304;,&#x1F918;
👌,OKサイン,&#128076;,&#x1F44C;
🤌,つまんでいる指,&#129292;,&#x1F90C;
🤏,つまんでいる手,&#129295;,&#x1F90F;
🫳,手のひらを下にした手,&#129779;,&#x1FAF3;
🫴,手のひらを上にした手,&#129780;,&#x1FAF4;
👈,左指差し,&#128072;,&#x1F448;
👉,右指差し,&#128073;,&#x1F449;
👆,上指差し,&#128070;,&#x1F446;
👇,下指差し,&#128071;,&#x1F447;
☝️,上指差し,&#9757;&#65039;,&#x261D;
✋,挙手,&#9995;,&#x270B;
🤚,手の甲,&#129306;,&#x1F91A;
🖐,広げた手のひら顔,&#128400;,&#x1F590;
🖖,長寿と繁栄を,&#128406;,&#x1F596;
👋,バイバイ,&#128075;,&#x1F44B;
🤙,電話の形の手,&#129305;,&#x1F919;
🫲,左手,&#129778;,&#x1FAF2;
🫱,右手,&#129777;,&#x1FAF1;
💪,曲げた上腕二頭筋,&#128170;,&#x1F4AA;
🦾,メカニカルアーム,&#129470;,&#x1F9BE;
🖕,中指を立てた手,&#128405;,&#x1F595;
✍,書いている手,&#9997;,&#270D;
🙏,握った手,&#128591;,&#x1F64F;
🫵,見ている人を指している人差し指,&#129781;,&#x1FAF5;
🦶,足,&#129462;,&#x1F9B6;
🦵,脚,&#129461;,&#x1F9B5;
🦿,機械の脚,&#129471;,&#x1F9BF;
💄,口紅,&#128132;,&#x1F484;
💋,キスマーク,&#128139;,&#x1F48B;
👄,口,&#128068;,&#x1F444;
🫦,かんでいる唇,&#129766;,&#x1FAE6;
🦷,歯,&#129463;,&#x1F9B7;
👅,舌,&#128069;,&#x1F445;
👂,耳,&#128066;,&#x1F442;
🦻,補聴器を付けている耳,&#129467;,&#x1F9BB;
👃,鼻,&#128067;,&#x1F443;
🫆,指紋,&#129734;,&#x1FAC6;
👣,足あと,&#128099;,&#x1F463;
👁,目,&#128065;,&#x1F441;
👀,目,&#128064;,&#x1F440;
🫀,解剖学的な心臓,&#129728;,&#x1FAC0;
🫁,肺,&#129729;,&#x1FAC1;
🧠,脳,&#129504;,&#x1F9E0;
🗣,喋る頭のシルエット,&#128483;,&#x1F5E3;
👤,上半身のシルエット,&#128100;,&#x1F464;
👥,上半身のシルエット,&#128101;,&#x1F465;
🫂,ハグしている人たち,&#129730;,&#x1FAC2;
👶,赤ちゃん,&#128118;,&#x1F476;
👧,女の子,&#128103;,&#x1F467;
🧒,子供,&#129490;,&#x1F9D2;
👦,男の子,&#128102;,&#x1F466;
👩,女性,&#128105;,&#x1F469;
🧑,成人向け,&#129489;,&#x1F9D1;
👨,男性,&#128104;,&#x1F468;
👩‍🦱,女性、巻き毛,&#128105;&#8205;&#129457;,&#x1F469;&#x200D;&#x1F9B1;
🧑🏿‍🦱,人、暗い肌色、巻き毛,&#129489;&#127999;&#8205;&#129457;,&#x1F9D1;&#x1F3FF;&#x200D;&#x1F9B1;
👨‍🦱,男性、巻き毛,&#128104;&#8205;&#129457;,&#x1F468;&#x200D;&#x1F9B1;
👩‍🦰,女性、赤毛,&#128105;&#8205;&#129456;,&#x1F469;&#x200D;&#x1F9B0;
🧑‍🦰,人、赤毛,&#129489;&#8205;&#129456;,&#x1F9D1;&#x200D;&#x1F9B0;
👨‍🦰,男性、赤毛,&#128104;&#8205;&#129456;,&#x1F468;&#x200D;&#x1F9B0;
👱‍♀️,女性、金髪,&#128113;&#8205;&#9792;&#65039;,&#x1F471;&#x200D;&#x2640;&#xFE0F;
👱,人、金髪,&#128113;,&#x1F471;
👱‍♂️,男性、金髪,&#128113;&#8205;&#9794;&#65039;,&#x1F471;&#x200D;&#x2642;&#xFE0F;
👩‍🦳,女性、白髪,&#128105;&#8205;&#129459;,&#x1F469;&#x200D;&#x1F9B3;
🧑‍🦳,人、白髪,&#129489;&#8205;&#129459;,&#x1F9D1;&#x200D;&#x1F9B3;
👨‍🦳,男性、白髪,&#128104;&#8205;&#129459;,&#x1F468;&#x200D;&#x1F9B3;
👩‍🦲,女性、禿,&#128105;&#8205;&#129458;,&#x1F469;&#x200D;&#x1F9B2;
🧑‍🦲,人、禿,&#129489;&#8205;&#129458;,&#x1F9D1;&#x200D;&#x1F9B2;
👨‍🦲,男性、禿,&#128104;&#8205;&#129458;,&#x1F468;&#x200D;&#x1F9B2;
🧔‍♀️,ひげのある女性,&#129492;&#8205;&#9792;&#65039;,&#x1F9D4;&#x200D;&#x2640;&#xFE0F;
🧔,あごひげのある人,&#129492;,&#x1F9D4;
🧔‍♂️,ひげのある男性,&#129492;&#8205;&#9794;&#65039;,&#x1F9D4;&#x200D;&#x2642;&#xFE0F;
👵,おばあさん,&#128117;,&#x1F475;
🧓,高齢者,&#129491;,&#x1F9D3;
👴,おじいさん,&#128116;,&#x1F474;
👲,スカルキャップをかぶった人,&#128114;,&#x1F472;
👳‍♀️,ターバンを巻いている女性,&#128115;&#8205;&#9792;&#65039;,&#x1F473;&#x200D;&#x2640;&#xFE0F;
👳,ターバンを巻いている人,&#128115;,&#x1F473;
👳‍♂️,ターバンを巻いている男性,&#128115;&#8205;&#9794;&#65039;,&#x1F473;&#x200D;&#x2642;&#xFE0F;
🧕,ヘッドスカーフをかぶった人,&#129493;,&#x1F9D5;
👮‍♀️,女性警察官,&#128110;&#8205;&#9792;&#65039;,&#x1F46E;&#x200D;&#x2640;&#xFE0F;
👮,警察官,&#128110;,&#x1F46E;
👮‍♂️,男性警察官,&#128110;&#8205;&#9794;&#65039;,&#x1F46E;&#x200D;&#x2642;&#xFE0F;
👷‍♀️,女性の建設作業員,&#128119;&#8205;&#9792;&#65039;,&#x1F477;&#x200D;&#x2640;&#xFE0F;
👷,建設作業員,&#128119;,&#x1F477;
👷‍♂️,男性の建設作業員,&#128119;&#8205;&#9794;&#65039;,&#x1F477;&#x200D;&#x2642;&#xFE0F;
💂‍♀️,女性警備員,&#128130;&#8205;&#9792;&#65039;,&#x1F482;&#x200D;&#x2640;&#xFE0F;
💂,警備員,&#128130;,&#x1F482;
💂‍♂️,男性警備員,&#128130;&#8205;&#9794;&#65039;,&#x1F482;&#x200D;&#x2642;&#xFE0F;
🕵️‍♀️,女性の探偵,&#128373;&#65039;&#8205;&#9792;&#65039;,&#x1F575;&#xFE0F;&#x200D;&#x2640;&#xFE0F;
🕵,探偵,&#128373;,&#x1F575;
🕵️‍♂️,男性の探偵,&#128373;&#65039;&#8205;&#9794;&#65039;,&#x1F575;&#xFE0F;&#x200D;&#x2642;&#xFE0F;
👩‍⚕️,女性医療関係者,&#128105;&#8205;&#9877;&#65039;,&#x1F469;&#x200D;&#x2695;&#xFE0F;
🧑‍⚕️,医療関係者,&#129489;&#8205;&#9877;&#65039;,&#x1F9D1;&#x200D;&#x2695;&#xFE0F;
👨‍⚕️,男性医療関係者,&#128104;&#8205;&#9877;&#65039;,&#x1F468;&#x200D;&#x2695;&#xFE0F;
👩‍🌾,女性の農業従事者,&#128105;&#8205;&#127806;,&#x1F469;&#x200D;&#x1F33E;
🧑‍🌾,農業従事者,&#129489;&#8205;&#127806;,&#x1F9D1;&#x200D;&#x1F33E;
👨‍🌾,男性の農業従事者,&#128104;&#8205;&#127806;,&#x1F468;&#x200D;&#x1F33E;
👩‍🍳,女性の料理人,&#128105;&#8205;&#127859;,&#x1F469;&#x200D;&#x1F373;
🧑‍🍳,料理人,&#129489;&#8205;&#127859;,&#x1F9D1;&#x200D;&#x1F373;
👨‍🍳,男性の料理人,&#128104;&#8205;&#127859;,&#x1F468;&#x200D;&#x1F373;
👩‍🎓,女子生徒,&#128105;&#8205;&#127891;,&#x1F469;&#x200D;&#x1F393;
🧑‍🎓,生徒,&#129489;&#8205;&#127891;,&#x1F9D1;&#x200D;&#x1F393;
👨‍🎓,男子生徒,&#128104;&#8205;&#127891;,&#x1F468;&#x200D;&#x1F393;
👩‍🎤,女性シンガー,&#128105;&#8205;&#127908;,&#x1F469;&#x200D;&#x1F3A4;
🧑‍🎤,歌手,&#129489;&#8205;&#127908;,&#x1F9D1;&#x200D;&#x1F3A4;
👨‍🎤,男性シンガー,&#128104;&#8205;&#127908;,&#x1F468;&#x200D;&#x1F3A4;
👩‍🏫,女性の教師,&#128105;&#8205;&#127979;,&#x1F469;&#x200D;&#x1F3EB;
🧑‍🏫,教師,&#129489;&#8205;&#127979;,&#x1F9D1;&#x200D;&#x1F3EB;
👨‍🏫,男性の教師,&#128104;&#8205;&#127979;,&#x1F468;&#x200D;&#x1F3EB;
👩‍🏭,女性の工場作業員,&#128105;&#8205;&#127981;,&#x1F469;&#x200D;&#x1F3ED;
🧑‍🏭,工場作業員,&#129489;&#8205;&#127981;,&#x1F9D1;&#x200D;&#x1F3ED;
👨‍🏭,男性の工場作業員,&#128104;&#8205;&#127981;,&#x1F468;&#x200D;&#x1F3ED;
👩‍💻,女性技術者,&#128105;&#8205;&#128187;,&#x1F469;&#x200D;&#x1F4BB;
🧑‍💻,技術者,&#129489;&#8205;&#128187;,&#x1F9D1;&#x200D;&#x1F4BB;
👨‍💻,男性技術者,&#128104;&#8205;&#128187;,&#x1F468;&#x200D;&#x1F4BB;
👩‍💼,女性会社員,&#128105;&#8205;&#128188;,&#x1F469;&#x200D;&#x1F4BC;
🧑‍💼,会社員,&#129489;&#8205;&#128188;,&#x1F9D1;&#x200D;&#x1F4BC;
👨‍💼,男性会社員,&#128104;&#8205;&#128188;,&#x1F468;&#x200D;&#x1F4BC;
👩‍🔧,女性整備士,&#128105;&#8205;&#128295;,&#x1F469;&#x200D;&#x1F527;
🧑‍🔧,整備士,&#129489;&#8205;&#128295;,&#x1F9D1;&#x200D;&#x1F527;
👨‍🔧,男性整備士,&#128104;&#8205;&#128295;,&#x1F468;&#x200D;&#x1F527;
👩‍🔬,女性科学者,&#128105;&#8205;&#128300;,&#x1F469;&#x200D;&#x1F52C;
🧑‍🔬,科学者,&#129489;&#8205;&#128300;,&#x1F9D1;&#x200D;&#x1F52C;
👨‍🔬,男性科学者,&#128104;&#8205;&#128300;,&#x1F468;&#x200D;&#x1F52C;
👩‍🎨,女性アーティスト,&#128105;&#8205;&#127912;,&#x1F469;&#x200D;&#x1F3A8;
🧑‍🎨,アーティスト,&#129489;&#8205;&#127912;,&#x1F9D1;&#x200D;&#x1F3A8;
👨‍🎨,男性アーティスト,&#128104;&#8205;&#127912;,&#x1F468;&#x200D;&#x1F3A8;
👩‍🚒,女性消防士,&#128105;&#8205;&#128658;,&#x1F469;&#x200D;&#x1F692;
🧑‍🚒,消防士,&#129489;&#8205;&#128658;,&#x1F9D1;&#x200D;&#x1F692;
👨‍🚒,男性消防士,&#128104;&#8205;&#128658;,&#x1F468;&#x200D;&#x1F692;
👩‍✈️,女性パイロット,&#128105;&#8205;&#9992;&#65039;,&#x1F469;&#x200D;&#x2708;&#xFE0F;
🧑‍✈️,パイロット,&#129489;&#8205;&#9992;&#65039;,&#x1F9D1;&#x200D;&#x2708;&#xFE0F;
👨‍✈️,男性パイロット,&#128104;&#8205;&#9992;&#65039;,&#x1F468;&#x200D;&#x2708;&#xFE0F;
👩‍🚀,女性宇宙飛行士,&#128105;&#8205;&#128640;,&#x1F469;&#x200D;&#x1F680;
🧑‍🚀,宇宙飛行士,&#129489;&#8205;&#128640;,&#x1F9D1;&#x200D;&#x1F680;
👨‍🚀,男性宇宙飛行士,&#128104;&#8205;&#128640;,&#x1F468;&#x200D;&#x1F680;
👩‍⚖️,女性裁判官,&#128105;&#8205;&#9878;&#65039;,&#x1F469;&#x200D;&#x2696;&#xFE0F;
🧑‍⚖️,裁判官,&#129489;&#8205;&#9878;&#65039;,&#x1F9D1;&#x200D;&#x2696;&#xFE0F;
👨‍⚖️,男性裁判官,&#128104;&#8205;&#9878;&#65039;,&#x1F468;&#x200D;&#x2696;&#xFE0F;
👰‍♀️,ベールを付けた女性,&#128112;&#8205;&#9792;&#65039;,&#x1F575;&#x200D;&#x2640;&#xFE0F;
👰,ベールを付けた人,&#128112;,&#x1F470;
👰‍♂️,ベールを付けた男性,&#128112;&#8205;&#9794;&#65039;,&#x1F575;&#x200D;&#x2642;&#xFE0F;
🤵‍♀️,タキシードの女性,&#129333;&#8205;&#9792;&#65039;,&#x1F935;&#x200D;&#x2640;&#xFE0F;
🤵,タキシードを着る人,&#129333;,&#x1F935;
🤵‍♂️,タキシードの男性,&#129333;&#8205;&#9794;&#65039;,&#x1F935;&#x200D;&#x2642;&#xFE0F;
👸,お姫さま,&#128120;,&#x1F478;
🫅,王冠をかぶった人,&#129733;,&#x1FAC5;
🤴,王子様,&#129332;,&#x1F934;
🥷,忍者,&#129399;,&#x1F977;
🦸‍♀️,女性のスーパーヒーロー,&#129464;&#8205;&#9792;&#65039;,&#x1F9B8;&#x200D;&#x2640;&#xFE0F;
🦸,スーパーヒーロー,&#129464;,&#x1F9B8;
🦸‍♂️,男性のスーパーヒーロー,&#129464;&#8205;&#9794;&#65039;,&#x1F9B8;&#x200D;&#x2642;&#xFE0F;
🦹‍♀️,女性の悪党,&#129465;&#8205;&#9792;&#65039;,&#x1F9B9;&#x200D;&#x2640;&#xFE0F;
🦹,悪党,&#129465;,&#x1F9B9;
🦹‍♂️,男性の悪党,&#129465;&#8205;&#9794;&#65039;,&#x1F9B9;&#x200D;&#x2642;&#xFE0F;
🤶,ミセス・クロース,&#129334;,&#x1F936;
🧑‍🎄,ミクスクロース,&#129489;&#8205;&#127876;,&#x1F9D1;&#x200D;&#x1F384;
🎅,サンタクロース,&#127877;,&#x1F385;
🧙‍♀️,女性の魔法使い,&#129497;&#8205;&#9792;&#65039;,&#x1F9D9;&#x200D;&#x2640;&#xFE0F;
🧙,魔法使い,&#129497;,&#x1F9D9;
🧙‍♂️,男性の魔法使い,&#129497;&#8205;&#9794;&#65039;,&#x1F9D9;&#x200D;&#x2642;&#xFE0F;
🧝‍♀️,女性の小人,&#129501;&#8205;&#9792;&#65039;,&#x1F9DD;&#x200D;&#x2640;&#xFE0F;
🧝,小人,&#129501;,&#x1F9DD;
🧝‍♂️,男性の小人,&#129501;&#8205;&#9794;&#65039;,&#x1F9DD;&#x200D;&#x2642;&#xFE0F;
🧌,釣り,&#129484;,&#x1F9CC;
🧛‍♀️,女性の吸血鬼,&#129499;&#8205;&#9792;&#65039;,&#x1F9DB;&#x200D;&#x2640;&#xFE0F;
🧛,吸血鬼,&#129499;,&#x1F9DB;
🧛‍♂️,男性の吸血鬼,&#129499;&#8205;&#9794;&#65039;,&#x1F9DB;&#x200D;&#x2642;&#xFE0F;
🧟‍♀️,女性のゾンビ,&#129503;&#8205;&#9792;&#65039;,&#x1F9DF;&#x200D;&#x2640;&#xFE0F;
🧟,ゾンビ,&#129503;,&#x1F9DF;
🧟‍♂️,男性のゾンビ,&#129503;&#8205;&#9794;&#65039;,&#x1F9DF;&#x200D;&#x2642;&#xFE0F;
🧟‍♀️,女性のゾンビ,&#129503;&#8205;&#9792;&#65039;,&#x1F9DF;&#x200D;&#x2640;&#xFE0F;
🧟,ゾンビ,&#129503;,&#x1F9DF;
🧟‍♂️,男性のゾンビ,&#129503;&#8205;&#9794;&#65039;,&#x1F9DF;&#x200D;&#x2642;&#xFE0F;
🧞‍♀️,女性の精霊,&#129502;&#8205;&#9792;&#65039;,&#x1F9DE;&#x200D;&#x2640;&#xFE0F;
🧞,精霊,&#129502;,&#x1F9DE;
🧞‍♂️,男性の精霊,&#129502;&#8205;&#9794;&#65039;,&#x1F9DE;&#x200D;&#x2642;&#xFE0F;
🧜‍♀️,女性の人魚,&#129500;&#8205;&#9792;&#65039;,&#x1F9DC;&#x200D;&#x2640;&#xFE0F;
🧜,人魚,&#129500;,&#x1F9DC;
🧜‍♂️,男性の人魚,&#129500;&#8205;&#9794;&#65039;,&#x1F9DC;&#x200D;&#x2642;&#xFE0F;
🧚‍♀️,女性の妖精,&#129498;&#8205;&#9792;&#65039;,&#x1F9DA;&#x200D;&#x2640;&#xFE0F;
🧚,妖精,&#129498;,&#x1F9DA;
🧚‍♂️,男性の妖精,&#129498;&#8205;&#9794;&#65039;,&#x1F9DA;&#x200D;&#x2642;&#xFE0F;
👼,天使の赤ちゃん,&#128124;,&#x1F47C;
🤰,妊婦,&#129328;,&#x1F930;
🫄,妊娠した人,&#129732;,&#x1FAC4;
🫃,妊娠している男性,&#129731;,&#x1FAC3;
🤱,母乳,&#129329;,&#x1F931;
👩‍🍼,赤ちゃんにご飯をあげる女性,&#128105;&#8205;&#127868;,&#x1F469;&#x200D;&#x1F37C;
🧑‍🍼,赤ちゃんにご飯をあげる人,&#129732;&#8205;&#127868;,&#x1F9D1;&#x200D;&#x1F37C;
👨‍🍼,赤ちゃんにご飯をあげる男性,&#129732;&#8205;&#127868;,&#x1F468;&#x200D;&#x1F37C;
🙇‍♀️,深くお辞儀する女性,&#128583;&#8205;&#9792;&#65039;,&#x1F647;&#x200D;&#x2640;&#xFE0F;
🙇,深くお辞儀する人,&#128583;,&#x1F647;
🙇‍♂️,深くお辞儀する男性,&#128583;&#8205;&#9794;&#65039;,&#x1F647;&#x200D;&#x2642;&#xFE0F;
💁‍♀️,案内する女性,&#128129;&#8205;&#9792;&#65039;,&#x1F481;&#x200D;&#x2640;&#xFE0F;
💁,案内する人,&#128129;,&#x1F481;
💁‍♂️,案内する男性,&#128129;&#8205;&#9794;&#65039;,&#x1F481;&#x200D;&#x2642;&#xFE0F;
🙅‍♀️,NGサインの女性,&#128581;&#8205;&#9792;&#65039;,&#x1F645;&#x200D;&#x2640;&#xFE0F;
🙅,NGサインの人,&#128581;,&#x1F645;
🙅‍♂️,NGサインの男性,&#128581;&#8205;&#9794;&#65039;,&#x1F645;&#x200D;&#x2642;&#xFE0F;
🙆‍♀️,OKサインの女性,&#128582;&#8205;&#9792;&#65039;,&#x1F646;&#x200D;&#x2640;&#xFE0F;
🙆,OKサインの人,&#128582;,&#x1F646;
🙆‍♂️,OKサインの男性,&#128582;&#8205;&#9794;&#65039;,&#x1F646;&#x200D;&#x2642;&#xFE0F;
🙋‍♀️,片手を上げて喜ぶ女性,&#128587;&#8205;&#9792;&#65039;,&#x1F64B;&#x200D;&#x2640;&#xFE0F;
🙋,片手を上げて喜ぶ人,&#128587;,&#x1F64B;
🙋‍♂️,片手を上げて喜ぶ男性,&#128587;&#8205;&#9794;&#65039;,&#x1F64B;&#x200D;&#x2642;&#xFE0F;
🧏‍♀️,耳が不自由な女性,&#129487;&#8205;&#9792;&#65039;,&#x1F9CF;&#x200D;&#x2640;&#xFE0F;
🧏,耳が不自由な人,&#129487;,&#x1F9CF;
🧏‍♂️,耳が不自由な男性,&#129487;&#8205;&#9794;&#65039;,&#x1F9CF;&#x200D;&#x2642;&#xFE0F;
🤦‍♀️,顔を押さえる女性,&#129318;&#8205;&#9792;&#65039;,&#x1F926;&#x200D;&#x2640;&#xFE0F;
🤦,手のひらを顔に当てる人,&#129318;,&#x1F926;
🤦‍♂️,顔を押さえる男性,&#129318;&#8205;&#9794;&#65039;,&#x1F926;&#x200D;&#x2642;&#xFE0F;
🤷‍♀️,肩をすくめる女性,&#129335;&#8205;&#9792;&#65039;,&#x1F937;&#x200D;&#x2640;&#xFE0F;
🤷,肩をすくめる人,&#129335;,&#x1F937;
🤷‍♂️,肩をすくめる男性,&#129335;&#8205;&#9794;&#65039;,&#x1F937;&#x200D;&#x2642;&#xFE0F;
🙎‍♀️,ふくれっ面の女性,&#128590;&#8205;&#9792;&#65039;,&#x1F64E;&#x200D;&#x2640;&#xFE0F;
🙎,怒った顔の人,&#128590;,&#x1F64E;
🙎‍♂️,ふくれっ面の男性,&#128590;&#8205;&#9794;&#65039;,&#x1F64E;&#x200D;&#x2642;&#xFE0F;
🙍‍♀️,顔をしかめた女性,&#128589;&#8205;&#9792;&#65039;,&#x1F64D;&#x200D;&#x2640;&#xFE0F;
🙍,顔をしかめた人,&#128589;,&#x1F64D;
🙍‍♂️,顔をしかめた男性,&#128589;&#8205;&#9794;&#65039;,&#x1F64D;&#x200D;&#x2642;&#xFE0F;
💇‍♀️,髪を切られている女性,&#128135;&#8205;&#9792;&#65039;,&#x1F487;&#x200D;&#x2640;&#xFE0F;
💇,髪を切られている人,&#128135;,&#x1F487;
💇‍♂️,髪を切られている男性,&#128135;&#8205;&#9794;&#65039;,&#x1F487;&#x200D;&#x2642;&#xFE0F;
💆‍♀️,フェイスマッサージを受ける女性,&#128134;&#8205;&#9792;&#65039;,&#x1F486;&#x200D;&#x2640;&#xFE0F;
💆,フェイスマッサージを受ける人,&#128134;,&#x1F486;
💆‍♂️,フェイスマッサージを受ける男性,&#128134;&#8205;&#9794;&#65039;,&#x1F486;&#x200D;&#x2642;&#xFE0F;
🧖‍♀️,スチームルームにいる女性,&#129494;&#8205;&#9792;&#65039;,&#x1F9D6;&#x200D;&#x2640;&#xFE0F;
🧖,スチームルームにいる人,&#129494;,&#x1F9D6;
🧖‍♂️,スチームルームにいる男性,&#129494;&#8205;&#9794;&#65039;,&#x1F9D6;&#x200D;&#x2642;&#xFE0F;
💅,マニキュア,&#128133;,&#x1F485;
🤳,自撮り,&#129331;,&#x1F933;
💃,女性ダンサー,&#128131;,&#x1F483;
🕺,男性ダンサー,&#128378;,&#x1F57A;
👯‍♀️,バニーガール,&#128111;&#8205;&#9792;&#65039;,&#x1F46F;&#x200D;&#x2640;&#xFE0F;
👯,うさぎ耳の人,&#128111;,&#x1F46F;
👯‍♂️,うさぎ耳の男性,&#128111;&#8205;&#9794;&#65039;,&#x1F46F;&#x200D;&#x2642;&#xFE0F;
🕴️,宙に浮いたスーツの人,&#128378;,&#x1F574;&#xFE0F;
👩‍🦽,手動車いすに座っている女性,&#128105;&#8205;&#129469;,&#x1F469;&#x200D;&#x1F9BD;
🧑‍🦽,手動車いすに座っている人,&#129489;&#8205;&#129469;,&#x1F9D1;&#x200D;&#x1F9BD;
👨‍🦽,手動車いすに座っている男性,&#128104;&#8205;&#129469;,&#x1F468;&#x200D;&#x1F9BD;
👩‍🦼,電動車いすに座っている女性,&#128105;&#8205;&#129468;,&#x1F469;&#x200D;&#x1F9BC;
🧑‍🦼,電動車いすに座っている人,&#129489;&#8205;&#129468;,&#x1F9D1;&#x200D;&#x1F9BC;
👨‍🦼,電動車いすに座っている男性,&#128104;&#8205;&#129468;,&#x1F468;&#x200D;&#x1F9BC;
🚶‍♀️,歩く女性,&#128694;&#8205;&#9792;&#65039;,&#x1F6B6;&#x200D;&#x2640;&#xFE0F;
🚶,歩く人,&#128694;,&#x1F6B6;
🚶‍♂️,歩く男性,&#128694;&#8205;&#9794;&#65039;,&#x1F6B6;&#x200D;&#x2642;&#xFE0F;
👩‍🦯,白杖を持った女性,&#128105;&#8205;&#129455;,&#x1F469;&#x200D;&#x1F9AF;
🧑‍🦯,白杖を持った人,&#129489;&#8205;&#129455;,&#x1F9D1;&#x200D;&#x1F9AF;
👨‍🦯,白杖を持った男性,&#128104;&#8205;&#129455;,&#x1F468;&#x200D;&#x1F9AF;
🧎‍♀️,膝立ちしている女性,&#129486;&#8205;&#9792;&#65039;,&#x1F9CE;&#x200D;&#x2640;&#xFE0F;
🧎,膝立ちしている人,&#129486;,&#x1F9CE;
🧎‍♂️,膝立ちしている男性,&#129486;&#8205;&#9794;&#65039;,&#x1F9CE;&#x200D;&#x2642;&#xFE0F;
🏃‍♀️,走る女性,&#127939;&#8205;&#9792;&#65039;,&#x1F3C3;&#x200D;&#x2640;&#xFE0F;
🏃,走る人,&#127939;,&#x1F3C3;
🏃‍♂️,走る男性,&#127939;&#8205;&#9794;&#65039;,&#x1F3C3;&#x200D;&#x2642;&#xFE0F;
🧍‍♀️,立っている女性,&#129485;&#8205;&#9792;&#65039;,&#x1F9CD;&#x200D;&#x2640;&#xFE0F;
🧍,立っている人,&#129485;,&#x1F9CD;
🧍‍♂️,立っている男性,&#129485;&#8205;&#9794;&#65039;,&#x1F9CD;&#x200D;&#x2642;&#xFE0F;
👫,手をつないだ男女,&#128107;,&#x1F46B;
👭,手をつないだ女性,&#128109;,&#x1F46D;
🧑‍🤝‍🧑,手をつないだ人たち,&#129489;&#8205;&#129309;&#8205;&#129489;,&#x1F9D1;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;
👬,手をつないだ男性,&#128108;,&#x1F46C;
👩‍❤️‍👨,ハートのカップル（女性、男性） heart 恋 愛 好き,&#128105;&#8205;&#10084;&#65039;&#8205;&#128104;,&#x1F469;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F468;
👩‍❤️‍👩,ハートのカップル（女性、女性） heart 恋 愛 好き,&#128105;&#8205;&#10084;&#65039;&#8205;&#128105;,&#x1F469;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F469;
💑,ハートのカップル heart 恋 愛 好き,&#128145;,&#x1F491;
👨‍❤️‍👨,ハートのカップル（男性、男性） heart 恋 愛 好き,&#128104;&#8205;&#10084;&#65039;&#8205;&#128104;,&#x1F468;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F468;
👩‍❤️‍💋‍👨,キス（女性、男性）,&#128105;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#128104;,&#x1F469;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F468;
👩‍❤️‍💋‍👩,キス（女性、女性）,&#128105;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#128105;,&#x1F469;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F469;
💏,キス,&#128143;,&#x1F48F;
👨‍❤️‍💋‍👨,キス（男性、男性）,&#128104;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#128104;,&#x1F468;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F468;
👨‍👩‍👦,家族（男性、女性、男の子）,&#128104;&#8205;&#128105;&#8205;&#128102;,&#x1F468;&#x200D;&#x1F469;&#x200D;&#x1F466;
👨‍👩‍👧,家族（男性、女性、女の子）,&#128104;&#8205;&#128105;&#8205;&#128103;,&#x1F468;&#x200D;&#x1F469;&#x200D;&#x1F467;
👨‍👩‍👧‍👦,家族（男性、女性、女の子、男の子）,&#128104;&#8205;&#128105;&#8205;&#128103;&#8205;&#128102;,&#x1F468;&#x200D;&#x1F469;&#x200D;&#x1F467;&#x200D;&#x1F466;
👨‍👩‍👦‍👦,家族（男性、女性、男の子、男の子）,&#128104;&#8205;&#128105;&#8205;&#128103;&#8205;&#128102;,&#x1F468;&#x200D;&#x1F469;&#x200D;&#x1F466;&#x200D;&#x1F466;
👨‍👩‍👧‍👧,家族（男性、女性、女の子、女の子）,&#128104;&#8205;&#128105;&#8205;&#128103;&#8205;&#128103;,&#x1F468;&#x200D;&#x1F469;&#x200D;&#x1F467;&#x200D;&#x1F467;
👩‍👩‍👦,家族（女性、女性、男の子）,&#128105;&#8205;&#128105;&#8205;&#128102;,&#x1F469;&#x200D;&#x1F469;&#x200D;&#x1F466;
